"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"1","Resident Population--Estimates by Age, Sex, and Race:  July 1, 1923","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2","  (Excludes Alaska and Hawaii)","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"3","Age","All races","NaN","NaN","White","NaN","NaN","Nonwhite","NaN","NaN"
"4","NaN","Total","Male","Female","Total","Male","Female","Total","Male","Female"
"5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"6","All ages","111947000","56861000","55086000","100510000","51131000","49379000","11437000","5730000","5707000"
"7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","0","2433000","1242000","1191000","2183000","1115000","1068000","250000","127000","123000"
"9","1","2430000","1237000","1193000","2178000","1110000","1068000","252000","127000","125000"
"10","2","2426000","1232000","1194000","2170000","1104000","1066000","256000","128000","128000"
"11","3","2420000","1226000","1194000","2161000","1097000","1064000","259000","129000","130000"
"12","4","2410000","1219000","1191000","2150000","1090000","1060000","260000","129000","131000"
"13","5","2401000","1213000","1188000","2138000","1083000","1055000","263000","130000","133000"
"14","6","2387000","1205000","1182000","2123000","1074000","1049000","264000","131000","133000"
"15","7","2372000","1196000","1176000","2107000","1065000","1042000","265000","131000","134000"
"16","8","2352000","1185000","1167000","2087000","1054000","1033000","265000","131000","134000"
"17","9","2332000","1174000","1158000","2067000","1043000","1024000","265000","131000","134000"
"18","10","2309000","1162000","1147000","2044000","1031000","1013000","265000","131000","134000"
"19","11","2286000","1150000","1136000","2022000","1019000","1003000","264000","131000","133000"
"20","12","2256000","1134000","1122000","1994000","1004000","990000","262000","130000","132000"
"21","13","2218000","1113000","1105000","1959000","985000","974000","259000","128000","131000"
"22","14","2176000","1090000","1086000","1920000","964000","956000","256000","126000","130000"
"23","15","2133000","1066000","1067000","1882000","943000","939000","251000","123000","128000"
"24","16","2093000","1044000","1049000","1845000","923000","922000","248000","121000","127000"
"25","17","2052000","1021000","1031000","1809000","903000","906000","243000","118000","125000"
"26","18","2015000","1001000","1014000","1777000","886000","891000","238000","115000","123000"
"27","19","1981000","982000","999000","1748000","870000","878000","233000","112000","121000"
"28","20","1947000","964000","983000","1719000","855000","864000","228000","109000","119000"
"29","21","1910000","944000","966000","1689000","839000","850000","221000","105000","116000"
"30","22","1888000","932000","956000","1671000","829000","842000","217000","103000","114000"
"31","23","1885000","931000","954000","1670000","829000","841000","215000","102000","113000"
"32","24","1894000","935000","959000","1680000","834000","846000","214000","101000","113000"
"33","25","1901000","940000","961000","1688000","839000","849000","213000","101000","112000"
"34","26","1910000","945000","965000","1698000","845000","853000","212000","100000","112000"
"35","27","1908000","946000","962000","1699000","847000","852000","209000","99000","110000"
"36","28","1886000","937000","949000","1684000","841000","843000","202000","96000","106000"
"37","29","1853000","922000","931000","1659000","830000","829000","194000","92000","102000"
"38","30","1821000","908000","913000","1635000","820000","815000","186000","88000","98000"
"39","31","1788000","894000","894000","1610000","810000","800000","178000","84000","94000"
